식당명,Date,Map,Rate,사람,수식,식당 분류,주요 메뉴,지역-대분류,지역-소분류
버거킹 마곡원그로브몰점,2025-09-13,https://place.map.kakao.com/546841062,🥄🥄,,서울 강서구 : 마곡,🍔패스트푸드,햄버거,서울 강서구,마곡
잼베이커리,2025-09-12,https://place.map.kakao.com/578311224,🥄🥄🥄🥄,,서울 마포구 : 대흥,"☕카페, 🥗샐러드",샌드위치,서울 마포구,대흥
츠케루 공덕,2025-09-12,https://place.map.kakao.com/1596931299,🥄🥄🥄🥄,,서울 마포구 : 공덕,🍣일식,라멘,서울 마포구,공덕
육회바른연어 대흥역점,2025-09-11,https://place.map.kakao.com/93909311,🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,육회비빔밥,서울 마포구,대흥
바른치킨 서강대 로봇점,2025-09-11,https://place.map.kakao.com/1446748474,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍗치킨,치킨,서울 마포구,신촌/대흥
용싸키친,2025-09-10,https://place.map.kakao.com/15526292,🥄🥄,,서울 마포구 : 대흥,🍚한식,일본식주점,서울 마포구,대흥
네임이즈마빈,2025-09-10,https://place.map.kakao.com/631455576,🥄🥄🥄🥄🥄,,서울 마포구 : 망원,☕카페,카페,서울 마포구,망원
카츠와이찌 신촌점,2025-09-08,https://place.map.kakao.com/28097791,🥄🥄,,서울 서대문구 : 신촌,🍣일식,돈까스,서울 서대문구,신촌
큐스닭강정,2025-09-10,https://place.map.kakao.com/19949548,🥄🥄🥄🥄,,서울 마포구 : 망원,🍗치킨,닭강정,서울 마포구,망원
아이오밀,2025-09-09,https://place.map.kakao.com/1999464409,🥄🥄🥄🥄🥄,,서울 마포구 : 대흥,🍣일식,오차즈케,서울 마포구,대흥
